ID,Title,Content,Permalink,indirizzo:,indirizzo,comune,provincia,telefono,sito_web,email,riferimento,provincia_estesa,Slug
31583,"Canile sanitario Ulss 01 di Belluno","Canile sanitario Ulss 01 di Belluno",https://www.caneincasa.it/canili/canile-sanitario-ulss-01-di-belluno/,"Via Cappellari 46, Belluno","0437 943941 / 940183",Belluno,Belluno,"0437 943941 / 940183",,icilio.manzi@ulss.belluno.it,,Belluno,canile-sanitario-ulss-01-di-belluno
31584,"Rifugio del cane APACA","Rifugio del cane APACA",https://www.caneincasa.it/canili/rifugio-del-cane-apaca/,"Via Caduti 14.09.1944, 34/H, Belluno","0437 932451 / 393 5249051",Belluno,Belluno,"0437 932451 / 393 5249051",,rifugioapaca@gmail.com,,Belluno,rifugio-del-cane-apaca
31585,"Canile privato Hotel Dog’s","Canile privato Hotel Dog’s",https://www.caneincasa.it/canili/canile-privato-hotel-dogs/,"Via Bosco 12, Padova","049 5853320",Correzzola,Padova,"049 5853320",,,,Padova,canile-privato-hotel-dogs
31586,"Parco zoofilo San Francesco","Parco zoofilo San Francesco",https://www.caneincasa.it/canili/parco-zoofilo-san-francesco/,"Via Borghetto 11, Piazzola sul Brenta, Padova","333 1105921 / 333 1867076 / 338 4981981",Legnaro,Padova,"333 1105921 / 333 1867076 / 338 4981981",,info@canilesanfrancesco.it,,Padova,parco-zoofilo-san-francesco
31587,"Rifugio del cane Val di Maso","Rifugio del cane Val di Maso",https://www.caneincasa.it/canili/rifugio-del-cane-val-di-maso/,"Via Argine 863, Padova","331 6762216 / 331 6762215 / 331 6762213",Merlara,Padova,"331 6762216 / 331 6762215 / 331 6762213",,adozioni@leudica.org,,Padova,rifugio-del-cane-val-di-maso
31588,"Canile di Monselice","Canile di Monselice",https://www.caneincasa.it/canili/canile-di-monselice/,"Via Erbecé 9/B bis, Padova","338 381 0183",Monselice,Padova,"338 381 0183",,,,Padova,canile-di-monselice
31589,"Rifugio del cane di Rubano","Rifugio del cane di Rubano",https://www.caneincasa.it/canili/rifugio-del-cane-di-rubano/,"Via Palù 48, Padova","049 630272",Rubano,Padova,"049 630272",,LNDCsezionepadova@gmail.com,,Padova,rifugio-del-cane-di-rubano
31590,"Canile sanitario Selvazzano Dentro","Canile sanitario Selvazzano Dentro",https://www.caneincasa.it/canili/canile-sanitario-selvazzano-dentro/,"Via Bressan, 4, Padova","049 634420","Selvazzano Dentro",Padova,"049 634420",,,,Padova,canile-sanitario-selvazzano-dentro
31591,"Rifugio del cane CIPA e canile sanitario di Rovigo","Rifugio del cane CIPA e canile sanitario di Rovigo",https://www.caneincasa.it/canili/rifugio-del-cane-cipa-e-canile-sanitario-di-rovigo/,"Via Argine Zucca, 3/e - loc. Fienil del Turco, Rovigo","0425 35772 / 338 6324074",Rovigo,Rovigo,"0425 35772 / 338 6324074",,legadelcanerovigo@gmail.com,,Rovigo,rifugio-del-cane-cipa-e-canile-sanitario-di-rovigo
31592,"Canile consortile Ulss 7 c/o Pensione Borgochiaro","Canile consortile Ulss 7 c/o Pensione Borgochiaro",https://www.caneincasa.it/canili/canile-consortile-ulss-7-c-o-pensione-borgochiaro/,"Loc. Cal della Pila 5, Treviso","0438 975799 / 340 2258959","Cison di Valmarino",Treviso,"0438 975799 / 340 2258959",,michela@borgochiaro.it,,Treviso,canile-consortile-ulss-7-c-o-pensione-borgochiaro
