ID,Title,Content,Permalink,Province,nome_struttura,indirizzo,regione,provincia,comune,telefono,email,sito,referente,altre_informazioni,cap,sito_web,Slug
31993,erf,erf,https://www.caneincasa.it/pensioni_per_cani/erf/,,erf,erf,Veneto,Verona,reg,0457364376,massimiliano@gmail.com,https://www.caneincasa.it/,rter,retert,,,erf
31994,"Dog Hotel Il Quercione","Dog Hotel Il Quercione",https://www.caneincasa.it/pensioni_per_cani/dog-hotel-il-quercione/,,,,,,,,,,,,,,dog-hotel-il-quercione
31995,"Dogs CityLife","Dogs CityLife",https://www.caneincasa.it/pensioni_per_cani/dogs-citylife/,,,,,,,,,,,,,,dogs-citylife
31996,"Rifugio Oasi Alpignano","Rifugio Oasi Alpignano",https://www.caneincasa.it/pensioni_per_cani/rifugio-oasi-alpignano/,,,,,,,,,,,,,,rifugio-oasi-alpignano
31997,"SHINY'S BED & DOG'S","SHINY'S BED & DOG'S",https://www.caneincasa.it/pensioni_per_cani/shinys-bed-dogs/,,,,,,,,,,,,,,shinys-bed-dogs
31998,Ikeland,Ikeland,https://www.caneincasa.it/pensioni_per_cani/ikeland/,,,,,,,,,,,,,,ikeland
31999,"Canile la Tana","Canile la Tana",https://www.caneincasa.it/pensioni_per_cani/canile-la-tana/,,,,,,,,,,,,,,canile-la-tana
32000,"Allevamento Antico Gelso","Allevamento Antico Gelso",https://www.caneincasa.it/pensioni_per_cani/allevamento-antico-gelso/,,,,,,,,,,,,,,allevamento-antico-gelso
32001,"Area 51 ASD Centro Cinofilo","Area 51 ASD Centro Cinofilo",https://www.caneincasa.it/pensioni_per_cani/area-51-asd-centro-cinofilo/,,,,,,,,,,,,,,area-51-asd-centro-cinofilo
32002,"A.s.d. Il Lupo e la Luna","A.s.d. Il Lupo e la Luna",https://www.caneincasa.it/pensioni_per_cani/a-s-d-il-lupo-e-la-luna/,,,,,,,,,,,,,,a-s-d-il-lupo-e-la-luna
